"eez"	"avg"	"sau_id"
"1"	"Albania"	5705.35907692308	8
"2"	"Algeria"	126778.552307692	12
"3"	"American Samoa"	3335.29907692308	16
"4"	"Andaman and Nicobar"	42604.5341538462	357
"5"	"Angola"	607631.911076923	24
"6"	"Anguilla"	1023.47307692308	660
"7"	"Antigua and Barbuda"	2715.20830769231	28
"8"	"Argentina"	814924.914923077	32
"9"	"Aruba"	1812.24292307692	967
"10"	"Ascension"	251.121076923077	855
"11"	"Australia"	273674.446	36
"12"	"Azores Isl. (Portugal)"	16747.4203076923	622
"13"	"Bahamas"	16917.1243076923	44
"14"	"Bahrain"	34042.3896923077	48
"15"	"Balearic Island (Spain)"	10722.0918461538	903
"16"	"Bangladesh"	539100.019846154	50
"17"	"Barbados"	5616.85815384615	52
"18"	"Belgium"	16767.476	56
"19"	"Belize"	6537.90030769231	84
"20"	"Benin"	52335.628	204
"21"	"Bermuda"	1187.75338461538	60
"22"	"Bonaire"	1852.31138461538	907
"23"	"Bosnia and Herzegovina"	52.0683076923077	70
"24"	"Bouvet Island"	12.0666153846154	74
"25"	"Brazil"	721469.899692308	76
"26"	"British Virgin Islands"	1907.15938461538	92
"27"	"Brunei"	9518.05323076923	96
"28"	"Bulgaria"	17140.5361538462	100
"29"	"Cambodia"	546964.282461538	116
"30"	"Cameroon"	75673.0675384615	120
"31"	"Canada"	2817934.5	924
"32"	"Canada (East Coast)"	2407346.12984615	926
"33"	"Canada (Pacific)"	409024.659230769	925
"34"	"Canary Islands"	60186.0953846154	723
"35"	"Cape Verde"	16248.3824615385	132
"36"	"Cayman Islands"	184.830615384615	136
"37"	"Chagos Archipelago (UK)"	9454.53907692308	86
"38"	"Channel Isl. (UK)"	16643.2163076923	830
"39"	"Chile"	2609162.444	152
"40"	"China"	5420234.12723077	156
"41"	"Christmas Island"	845.046461538461	162
"42"	"Clipperton Island"	7207.92246153846	898
"43"	"Cocos Islands"	1110.03092307692	166
"44"	"Colombia"	82246.6	927
"45"	"Colombia (Pacific)"	48911.3456923077	928
"46"	"Comoro Islands"	11723.8706153846	174
"47"	"Democratic Republic of the Congo"	17197.9198461538	180
"48"	"Congo, R. of"	54457.8646153846	178
"49"	"Cook Islands"	6001.88353846154	184
"50"	"Corsica (France)"	2044.71646153846	899
"51"	"Costa Rica (Caribbean)"	594.207076923077	929
"52"	"Costa Rica"	57280.1307692308	930
"53"	"Crete (Greece)"	6839.64784615385	900
"54"	"Croatia"	53578.8547692308	191
"55"	"Crozet Islands"	898.380153846154	896
"56"	"Cuba"	44443.2798461538	192
"57"	"Curaao"	2413.83230769231	NA
"58"	"Cyprus"	4406.956	197
"59"	"Cyprus (South)"	2989.98584615385	198
"60"	"Côte d'Ivoire"	129693.712153846	NA
"61"	"Denmark"	547895.364923077	931
"62"	"Denmark (North Sea)"	427955.023076923	932
"63"	"Desventuradas Isl. (Chile)"	26.3009230769231	154
"64"	"Djibouti"	1331.01815384615	262
"65"	"Dominica"	1481.39738461538	212
"66"	"Dominican Republic"	42814.6984615385	214
"67"	"Easter Island"	586.753384615385	153
"68"	"Ecuador"	492624.564615385	218
"69"	"Egypt"	94137.1358461538	933
"70"	"Egypt (Red Sea)"	32650.7667692308	934
"71"	"El Salvador"	65578.7592307692	222
"72"	"Equatorial Guinea"	55970.666	226
"73"	"Eritrea"	13377.3395384615	111
"74"	"Estonia"	61899.43	233
"75"	"Faeroe Islands"	321061.302461538	234
"76"	"Falkland Islands"	201463.414769231	238
"77"	"Fernando de Noronha (Brazil)"	1139.59246153846	969
"78"	"Fiji"	49039.6992307692	242
"79"	"Finland"	78923.9455384615	246
"80"	"France"	304400.526615385	919
"81"	"France (Mediterranean)"	61745.4650769231	918
"82"	"French Guiana"	22126.4949230769	254
"83"	"French Polynesia"	37688.0216923077	258
"84"	"Gabon"	120990.897846154	266
"85"	"Galapagos Islands"	29418.0656923077	219
"86"	"Gambia"	156934.845384615	270
"87"	"Gaza Strip"	3841.10584615385	274
"88"	"Georgia"	70575.8513846154	268
"89"	"Germany"	269969.3067692308	278
"90"	"Germany (North Sea)"	204379.690769231	277
"91"	"Ghana"	347828.469846154	288
"92"	"Glorioso Islands"	344.982923076923	972
"93"	"Greece"	162537.575692308	300
"94"	"Greenland"	535947.515692308	304
"95"	"Grenada"	1969.81461538462	308
"96"	"Guadeloupe"	8863.16830769231	312
"97"	"Guam (USA)"	1309.52553846154	316
"98"	"Guatemala (Caribbean)"	3302.27030769231	935
"99"	"Guatemala"	37372.7476923077	936
"100"	"Guinea"	542284.250769231	324
"101"	"Guinea Bissau"	323439.426461538	624
"102"	"Guyana"	47384.7170769231	328
"103"	"Haiti"	15240.0347692308	332
"104"	"Hawaii"	30534.9195384615	842
"105"	"Hawaii Northwest Islands (USA)"	5401.95169230769	488
"106"	"Heard and McDonald Islands"	1654.53138461538	334
"107"	"Honduras"	15879.4272307692	921
"108"	"Honduras (Pacific)"	2972.61107692308	920
"109"	"Hong Kong (China)"	21908.928	344
"110"	"Howland Island and Baker Island"	4749.08061538462	846
"111"	"Iceland"	1351422.57338462	352
"112"	"India"	2277479.33938462	356
"113"	"Indonesia"	4347492.62738462	937
"114"	"Indonesia (Eastern)"	2337992.72507692	361
"115"	"Indonesia (Indian Ocean)"	985187.033384615	938
"116"	"Iran"	354251.313846154	922
"117"	"Iran (Sea of Oman)"	87659.7561538461	923
"118"	"Iraq"	7580.94092307692	368
"119"	"Ireland"	391486.770153846	372
"120"	"Israel"	4581.47307692308	939
"121"	"Israel (Red Sea)"	169.986461538462	940
"122"	"Italy"	494978.645230769	380
"123"	"Jamaica"	48551.6607692308	388
"124"	"Jan Mayen"	23880.6264615385	579
"125"	"Japan"	6214452.64492307692	393
"126"	"Japan (Ogasawara Islands)"	12107.6847692308	971
"127"	"Japan (main islands)"	6195667.39846154	390
"128"	"Jarvis Island"	944.047692307692	845
"129"	"Johnston Atoll"	876.941230769231	396
"130"	"Jordan"	181.274153846154	400
"131"	"Juan de Nova Island"	74145.4269230769	155
"132"	"Kenya"	18422.2146153846	404
"133"	"Kerguelen Islands"	13488.2247692308	897
"134"	"Kermadec Isl. (New Zealand)"	1109.82015384615	555
"135"	"Kiribati"	119019.0398461538	941
"136"	"Kiribati (Line Islands)"	17019.7552307692	942
"137"	"Kiribati (Phoenix Islands)"	21591.442	943
"138"	"North Korea"	609761.269384615	408
"139"	"South Korea"	2119470.47046154	410
"140"	"Kuwait"	33632.5210769231	414
"141"	"Latvia"	83750.2038461538	428
"142"	"Lebanon"	5857.65492307692	422
"143"	"Liberia"	74824.4150769231	430
"144"	"Libya"	40615.9301538462	434
"145"	"Lithuania"	23802.8163076923	440
"146"	"Lord Howe Isl. (Australia)"	7267.82061538461	38
"147"	"Macquarie Island"	126.318	37
"148"	"Madagascar"	98294.4209230769	450
"149"	"Madeira"	7442.73492307692	621
"150"	"Malaysia"	1999380.114	460
"151"	"Malaysia (Peninsula West)"	720036.596	459
"152"	"Malaysia (Sabah)"	397116.417538462	461
"153"	"Malaysia (Sarawak)"	347115.368769231	463
"154"	"Maldives"	116324.769384615	462
"155"	"Malta"	2082.704	470
"156"	"Marshall Islands"	31262.2776923077	584
